utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,,,,,,,
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,24,0,16399,3.10365E+14,31,27.3,600.338501,0.688999951,16,0,0,1.58E+09,0,0,0,0,0,1,-0.16,23.7,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,32,0,16399,3.10365E+14,9,39.2,-138.0258331,0.042800002,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,35.6,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,196,0,16399,3.10365E+14,11,36.6,-163.2250519,0.066700004,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-0.16,33,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,3,0,49359,6.19473E+13,27,28.9,139.7420197,0.838999987,16,0,0,1.60E+09,0,0,0,0,0,3,-0.12,24.9,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,4,0,49359,6.19473E+13,31,27.9,-80.62626648,0.89349997,16,0,0,1.61E+09,0,0,0,0,0,3,-0.12,23.9,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,16,0,16399,3.10351E+14,16,34.1,42.19784927,0.042900003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,29.8,-1530.412964,22.09763527,0,0,I,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,14,0,16399,3.10351E+14,46,25.2,219.9908447,0.79549998,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,20.9,-1530.412964,22.09763527,0,0,I,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,13,0,16399,3.10351E+14,17,32.6,-136.3968048,0.0458,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,28.3,-1530.412964,22.09763527,0,0,I,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,8,0,16399,3.10351E+14,11,37.8,-105.5924835,0.036700003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,33.5,-1530.412964,22.09763527,0,0,I,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,4,0,23567,3.10365E+14,35,26.8,262.1200256,0.753499985,16,0,0,1.58E+09,0,0,0,0,0,6,-0.03,22.5,-1449.254517,17.46608353,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,5,0,23567,3.10365E+14,27,29,-160.5317535,0.603500009,16,0,0,1.58E+09,0,0,0,0,0,6,-0.03,24.7,-1449.254517,17.46608353,0,0,C,3.79875E+15
1.71578E+12,4.57624E+14,18,0,-1.39936E+18,0.710608959,61.69748667,-1.278949036,14.97688714,1665,9,0,23567,3.10365E+14,14,34.5,87.77974701,0.050000001,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,-0.03,30.2,-1449.254517,17.46608353,0,0,C,3.79875E+15
